Philippine_plate,Pacific_plate,Mariana_plate,Caroline_plate,Igneous_areas,Sedimental_thickness,Slope_steepness,Aspect_degree,Tg_angle,Depth_Max,Depth_Mean,Depth_Min
518,0,0,0,112,132,25,50.572197,0.05959421,-5850,-3680,-400
82,0,436,0,71,103,32,44.674458,0.05889147,-7200,-3774,-1350
15,396,107,0,0,96,51,215.07376,0.07532998,-6650,-4601,-1200
75,187,256,0,0,109,64,277.8064,0.06502649,-7700,-4067,-550
63,230,225,0,3,127,52,178.41765,0.06545271,-7650,-4733,-2350
67,210,241,0,5,135,70,158.5747,0.07206682,-6950,-3991,-1250
148,209,161,0,0,142,55,347.45697,0.07767503,-6450,-4019,-1550
69,210,239,0,208,137,27,214.20346,0.07206682,-6950,-3431,-650
75,209,234,0,0,64,26,325.03488,0.07532998,-6650,-4365,-1900
119,207,192,0,0,135,66,330.71426,0.06588456,-7600,-3560,0
152,173,193,0,188,136,42,24.96279,0.06031394,-5900,-3837,-1650
204,145,169,0,0,141,62,96.11022,0.06813234,-7350,-4158,-1050
263,59,196,0,111,140,46,2.465759,0.06721504,-7400,-4365,-1200
306,50,162,0,149,129,35,209.34422,0.05854629,-8550,-4379,-2100
310,1,207,0,55,131,37,260.24203,0.05469926,-9150,-4114,-1450
315,0,203,0,113,136,64,256.17136,0.0553049,-9050,-4266,-1450
358,0,160,0,40,125,40,130.63173,0.0553049,-9050,-4359,-1450
393,0,125,0,81,106,43,153.87738,0.05268023,-6750,-3878,-1500
321,161,36,0,110,98,36,119.52136,0.05500041,-9100,-4710,-2350
346,162,10,0,188,99,39,272.21967,0.05324171,-9400,-4833,-1500
404,114,0,0,82,100,43,77.56395,0.04720483,-10600,-5331,-1650
397,62,0,59,212,93,33,253.03384,0.05132705,-9750,-4691,-2050
419,79,0,20,306,88,32,292.6065,0.08082045,-6050,-3999,-2000
464,31,0,23,228,46,34,267.1612,0.08082045,-6200,-3652,-50
434,54,0,30,31,53,32,325.21497,0.06721504,-6350,-4744,-3150
